time,year,species,port,landings,month,species_group
1985-07-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,18216,7,Abalone
1985-08-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,672,8,Abalone
1985-09-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,6966,9,Abalone
1985-10-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,5630,10,Abalone
1985-11-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,3839,11,Abalone
1985-12-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,7478,12,Abalone
1986-01-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,10742,1,Abalone
1986-02-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,319,2,Abalone
1986-03-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,9381,3,Abalone
1986-04-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,10096,4,Abalone
1986-05-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,3539,5,Abalone
1986-06-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,13036,6,Abalone
1986-07-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,8128,7,Abalone
1986-08-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,1000,8,Abalone
1986-09-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,8805,9,Abalone
1986-10-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,1824,10,Abalone
1986-11-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,1518,11,Abalone
1986-12-16 00:00:00+00:00,1986,"abalone, black",Los Angeles,6027,12,Abalone
1987-01-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,3895,1,Abalone
1987-02-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,750,2,Abalone
1987-03-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,4471,3,Abalone
1987-04-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,7440,4,Abalone
1987-05-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,9260,5,Abalone
1987-06-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,9289,6,Abalone
1987-07-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,17593,7,Abalone
1987-08-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,1235,8,Abalone
1987-09-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,3690,9,Abalone
1987-10-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,6622,10,Abalone
1987-11-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,2732,11,Abalone
1987-12-16 00:00:00+00:00,1987,"abalone, black",Los Angeles,3532,12,Abalone
1988-01-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,3760,1,Abalone
1988-03-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,7729,3,Abalone
1988-04-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,15394,4,Abalone
1988-05-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,4244,5,Abalone
1988-06-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,9247,6,Abalone
1988-07-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,18970,7,Abalone
1988-08-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,1676,8,Abalone
1988-09-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,3607,9,Abalone
1988-10-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,4983,10,Abalone
1988-11-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,523,11,Abalone
1988-12-16 00:00:00+00:00,1988,"abalone, black",Los Angeles,1091,12,Abalone
1989-01-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,1702,1,Abalone
1989-02-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,138,2,Abalone
1989-03-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,2672,3,Abalone
1989-04-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,7130,4,Abalone
1989-05-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,2690,5,Abalone
1989-06-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,2814,6,Abalone
1989-07-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,6165,7,Abalone
1989-08-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,1406,8,Abalone
1989-09-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,4479,9,Abalone
1989-10-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,3346,10,Abalone
1989-11-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,2040,11,Abalone
1989-12-16 00:00:00+00:00,1989,"abalone, black",Los Angeles,3640,12,Abalone
1990-01-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,1878,1,Abalone
1990-03-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,4452,3,Abalone
1990-04-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,5131,4,Abalone
1990-05-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,7138,5,Abalone
1990-06-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,2965,6,Abalone
1990-07-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,3928,7,Abalone
1990-08-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,121,8,Abalone
1990-09-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,481,9,Abalone
1990-10-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,187,10,Abalone
1990-11-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,736,11,Abalone
1990-12-16 00:00:00+00:00,1990,"abalone, black",Los Angeles,1821,12,Abalone
1991-03-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,14,3,Abalone
1991-04-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,1051,4,Abalone
1991-06-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,52,6,Abalone
1991-07-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,321,7,Abalone
1991-09-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,619,9,Abalone
1991-10-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,44,10,Abalone
1991-11-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,216,11,Abalone
1991-12-16 00:00:00+00:00,1991,"abalone, black",Los Angeles,225,12,Abalone
1992-04-16 00:00:00+00:00,1992,"abalone, black",Los Angeles,13,4,Abalone
1992-06-16 00:00:00+00:00,1992,"abalone, black",Los Angeles,70,6,Abalone
1992-07-16 00:00:00+00:00,1992,"abalone, black",Los Angeles,129,7,Abalone
1992-09-16 00:00:00+00:00,1992,"abalone, black",Los Angeles,375,9,Abalone
1992-10-16 00:00:00+00:00,1992,"abalone, black",Los Angeles,551,10,Abalone
1992-11-16 00:00:00+00:00,1992,"abalone, black",Los Angeles,125,11,Abalone
1992-12-16 00:00:00+00:00,1992,"abalone, black",Los Angeles,150,12,Abalone
1993-06-16 00:00:00+00:00,1993,"abalone, black",Los Angeles,119,6,Abalone
1988-06-16 00:00:00+00:00,1988,"abalone, black",Monterey,405,6,Abalone
1988-08-16 00:00:00+00:00,1988,"abalone, black",Monterey,386,8,Abalone
1989-03-16 00:00:00+00:00,1989,"abalone, black",Monterey,2173,3,Abalone
1972-01-16 00:00:00+00:00,1972,"abalone, black",San Diego,90,1,Abalone
1972-03-16 00:00:00+00:00,1972,"abalone, black",San Diego,12,3,Abalone
1972-04-16 00:00:00+00:00,1972,"abalone, black",San Diego,1404,4,Abalone
1972-05-16 00:00:00+00:00,1972,"abalone, black",San Diego,10220,5,Abalone
1972-06-16 00:00:00+00:00,1972,"abalone, black",San Diego,14944,6,Abalone
1972-07-16 00:00:00+00:00,1972,"abalone, black",San Diego,2874,7,Abalone
1972-09-16 00:00:00+00:00,1972,"abalone, black",San Diego,1750,9,Abalone
1972-10-16 00:00:00+00:00,1972,"abalone, black",San Diego,221,10,Abalone
1972-11-16 00:00:00+00:00,1972,"abalone, black",San Diego,350,11,Abalone
1972-12-16 00:00:00+00:00,1972,"abalone, black",San Diego,404,12,Abalone
1973-03-16 00:00:00+00:00,1973,"abalone, black",San Diego,235,3,Abalone
1973-04-16 00:00:00+00:00,1973,"abalone, black",San Diego,4435,4,Abalone
1973-05-16 00:00:00+00:00,1973,"abalone, black",San Diego,21745,5,Abalone
1973-06-16 00:00:00+00:00,1973,"abalone, black",San Diego,17229,6,Abalone
1973-07-16 00:00:00+00:00,1973,"abalone, black",San Diego,43390,7,Abalone
1973-09-16 00:00:00+00:00,1973,"abalone, black",San Diego,5632,9,Abalone
1973-10-16 00:00:00+00:00,1973,"abalone, black",San Diego,8800,10,Abalone
1973-11-16 00:00:00+00:00,1973,"abalone, black",San Diego,2101,11,Abalone
1973-12-16 00:00:00+00:00,1973,"abalone, black",San Diego,6372,12,Abalone
1974-01-16 00:00:00+00:00,1974,"abalone, black",San Diego,910,1,Abalone
1974-03-16 00:00:00+00:00,1974,"abalone, black",San Diego,33,3,Abalone
1974-04-16 00:00:00+00:00,1974,"abalone, black",San Diego,418,4,Abalone
1974-05-16 00:00:00+00:00,1974,"abalone, black",San Diego,2857,5,Abalone
1974-06-16 00:00:00+00:00,1974,"abalone, black",San Diego,4806,6,Abalone
1974-07-16 00:00:00+00:00,1974,"abalone, black",San Diego,7353,7,Abalone
1974-09-16 00:00:00+00:00,1974,"abalone, black",San Diego,1529,9,Abalone
1974-10-16 00:00:00+00:00,1974,"abalone, black",San Diego,98,10,Abalone
1974-12-16 00:00:00+00:00,1974,"abalone, black",San Diego,65,12,Abalone
1975-01-16 00:00:00+00:00,1975,"abalone, black",San Diego,517,1,Abalone
1975-04-16 00:00:00+00:00,1975,"abalone, black",San Diego,724,4,Abalone
1975-06-16 00:00:00+00:00,1975,"abalone, black",San Diego,210,6,Abalone
1975-07-16 00:00:00+00:00,1975,"abalone, black",San Diego,108,7,Abalone
1975-09-16 00:00:00+00:00,1975,"abalone, black",San Diego,83,9,Abalone
1975-10-16 00:00:00+00:00,1975,"abalone, black",San Diego,75,10,Abalone
1975-11-16 00:00:00+00:00,1975,"abalone, black",San Diego,138,11,Abalone
1975-12-16 00:00:00+00:00,1975,"abalone, black",San Diego,254,12,Abalone
1976-01-16 00:00:00+00:00,1976,"abalone, black",San Diego,50,1,Abalone
1976-04-16 00:00:00+00:00,1976,"abalone, black",San Diego,162,4,Abalone
1976-05-16 00:00:00+00:00,1976,"abalone, black",San Diego,2,5,Abalone
1976-06-16 00:00:00+00:00,1976,"abalone, black",San Diego,258,6,Abalone
1976-07-16 00:00:00+00:00,1976,"abalone, black",San Diego,213,7,Abalone
1976-09-16 00:00:00+00:00,1976,"abalone, black",San Diego,804,9,Abalone
1976-10-16 00:00:00+00:00,1976,"abalone, black",San Diego,112,10,Abalone
1976-11-16 00:00:00+00:00,1976,"abalone, black",San Diego,983,11,Abalone
1976-12-16 00:00:00+00:00,1976,"abalone, black",San Diego,1102,12,Abalone
1977-01-16 00:00:00+00:00,1977,"abalone, black",San Diego,125,1,Abalone
1977-03-16 00:00:00+00:00,1977,"abalone, black",San Diego,196,3,Abalone
1977-04-16 00:00:00+00:00,1977,"abalone, black",San Diego,308,4,Abalone
1977-05-16 00:00:00+00:00,1977,"abalone, black",San Diego,677,5,Abalone
1977-06-16 00:00:00+00:00,1977,"abalone, black",San Diego,6173,6,Abalone
1977-07-16 00:00:00+00:00,1977,"abalone, black",San Diego,7796,7,Abalone
1977-08-16 00:00:00+00:00,1977,"abalone, black",San Diego,1427,8,Abalone
1977-09-16 00:00:00+00:00,1977,"abalone, black",San Diego,49,9,Abalone
1977-10-16 00:00:00+00:00,1977,"abalone, black",San Diego,896,10,Abalone
1977-11-16 00:00:00+00:00,1977,"abalone, black",San Diego,602,11,Abalone
1977-12-16 00:00:00+00:00,1977,"abalone, black",San Diego,729,12,Abalone
1978-01-16 00:00:00+00:00,1978,"abalone, black",San Diego,575,1,Abalone
1978-03-16 00:00:00+00:00,1978,"abalone, black",San Diego,1875,3,Abalone
1978-04-16 00:00:00+00:00,1978,"abalone, black",San Diego,877,4,Abalone
1978-05-16 00:00:00+00:00,1978,"abalone, black",San Diego,840,5,Abalone
1978-06-16 00:00:00+00:00,1978,"abalone, black",San Diego,1759,6,Abalone
1978-07-16 00:00:00+00:00,1978,"abalone, black",San Diego,2388,7,Abalone
1978-10-16 00:00:00+00:00,1978,"abalone, black",San Diego,8,10,Abalone
1978-11-16 00:00:00+00:00,1978,"abalone, black",San Diego,1028,11,Abalone
1978-12-16 00:00:00+00:00,1978,"abalone, black",San Diego,1616,12,Abalone
1979-01-16 00:00:00+00:00,1979,"abalone, black",San Diego,1123,1,Abalone
1979-03-16 00:00:00+00:00,1979,"abalone, black",San Diego,5448,3,Abalone
1979-04-16 00:00:00+00:00,1979,"abalone, black",San Diego,1175,4,Abalone
1979-05-16 00:00:00+00:00,1979,"abalone, black",San Diego,500,5,Abalone
1979-06-16 00:00:00+00:00,1979,"abalone, black",San Diego,2389,6,Abalone
1979-07-16 00:00:00+00:00,1979,"abalone, black",San Diego,796,7,Abalone
1979-08-16 00:00:00+00:00,1979,"abalone, black",San Diego,637,8,Abalone
1979-09-16 00:00:00+00:00,1979,"abalone, black",San Diego,2350,9,Abalone
1979-10-16 00:00:00+00:00,1979,"abalone, black",San Diego,1587,10,Abalone
1979-11-16 00:00:00+00:00,1979,"abalone, black",San Diego,2390,11,Abalone
1979-12-16 00:00:00+00:00,1979,"abalone, black",San Diego,2594,12,Abalone
1980-01-16 00:00:00+00:00,1980,"abalone, black",San Diego,2348,1,Abalone
1980-02-16 00:00:00+00:00,1980,"abalone, black",San Diego,902,2,Abalone
1980-03-16 00:00:00+00:00,1980,"abalone, black",San Diego,778,3,Abalone
1980-04-16 00:00:00+00:00,1980,"abalone, black",San Diego,671,4,Abalone
